201.918887287 10.10.1.2:49384 10.10.2.2:5001 32 0x14108c23 0x14105923 10 2147483647 28960 1 29312
201.918916774 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9a9719 0x6c9a6419 10 2147483647 28960 1 29312
201.919072568 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec32b5 0x8cebffb5 10 2147483647 28960 1 29312
201.920200245 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec32b5 0x8cebffcd 11 2147483647 29056 1 29312
201.932191221 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec4efd 0x8cec0575 12 2147483647 31872 1 29312
201.944238868 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec4efd 0x8cec0b1d 13 2147483647 34816 1 29312
201.956262939 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec659d 0x8cec10c5 14 2147483647 37760 1 29312
201.968203204 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec6b45 0x8cec166d 15 2147483647 40576 2 29312
201.980272480 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec7695 0x8cec1c15 16 2147483647 43520 4 29312
201.992185168 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec81e5 0x8cec21bd 17 2147483647 46336 5 29312
202.004224493 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec8d35 0x8cec2765 18 2147483647 49280 7 29312
202.016161485 10.10.1.2:49386 10.10.2.2:5001 32 0x8cec9885 0x8cec2d0d 19 2147483647 52224 8 29312
202.028217052 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9a9719 0x6c9a6431 11 2147483647 29056 1 29312
202.040200463 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9aadb9 0x6c9a69d9 12 2147483647 31872 4 29312
202.052201232 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9aadb9 0x6c9a6f81 13 2147483647 34816 7 29312
202.064220020 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9ac459 0x6c9a7529 14 2147483647 37760 10 29312
202.076194197 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9acfa9 0x6c9a7ad1 15 2147483647 40576 14 29312
202.088099385 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9adaf9 0x6c9a8079 16 2147483647 43520 17 29312
202.100135343 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9ae649 0x6c9a8621 17 2147483647 46336 20 29312
202.112127128 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9af199 0x6c9a8bc9 18 2147483647 49280 23 29312
202.124158014 10.10.1.2:49385 10.10.2.2:5001 32 0x6c9afce9 0x6c9a9171 19 2147483647 52224 26 29312
202.136158763 10.10.1.2:49384 10.10.2.2:5001 32 0x14108c23 0x1410593b 1 5 29056 1 29312
